# eV     nm      cm^-1        oscillator_strength
2.99222 414.64210 24133.89585 1.44361
3.47830 356.69771 28054.36946 0.08771
3.86490 321.01743 31172.54232 0.00008
4.09113 303.26587 32997.21614 0.03389
4.11869 301.23709 33219.44595 0.23232
4.15200 298.82042 33488.10398 0.00006
4.38152 283.16693 35339.32883 0.27598
4.84033 256.32578 39039.88680 0.04581
4.90502 252.94535 39561.62598 0.16636
5.09853 243.34477 41122.43493 0.07921
