# eV     nm      cm^-1        oscillator_strength
3.01568 411.41699 24323.08261 1.45191
3.54641 349.84659 28603.76375 0.07033
3.86486 321.02108 31172.18800 0.00005
4.15196 298.82283 33487.83435 0.00000
4.19080 296.05362 33801.07057 0.02594
4.22068 293.95758 34042.08634 0.17807
4.42202 280.57310 35666.03248 0.30783
4.92383 251.97897 39713.35090 0.05727
5.07627 244.41190 40942.88901 0.02663
5.13539 241.59831 41419.69922 0.16616
