# eV     nm      cm^-1        oscillator_strength
2.84688 435.81074 22961.63974 1.12292
3.34324 371.10733 26965.05409 0.07453
3.86477 321.02873 31171.44424 0.00006
3.96703 312.75284 31996.28635 0.03449
3.98155 311.61228 32113.39856 0.16403
4.15194 298.82409 33487.69322 0.00002
4.27085 290.50421 34446.76200 0.22225
4.72172 262.76481 38083.21732 0.07468
4.73836 261.84200 38217.43422 0.12142
4.94960 250.66702 39921.20357 0.04935
